Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
1997-07-01,623682177678.5,24955.0,78.515,36305.854999999996,6.0,3.0,6.0,30030560.5,19.0,20770.12855563983,0.9002307692307693,1.0555555555555556,0.806012723114051,0.9142375424408423
1997-08-01,621847242415.97,25034.166666666668,78.5325,36389.97583333333,6.0,3.0,6.0,30051329.25,19.0,20694.661936561242,0.9005000000000001,1.0555555555555556,0.8054637870893985,0.9142375424408423
1997-09-01,620012307153.44,25113.333333333332,78.55,36474.096666666665,6.0,3.0,6.0,30072098.0,19.0,20619.195317482656,0.9007692307692309,1.0555555555555556,0.8049148510647459,0.9142375424408423
1997-10-01,618177371890.9099,25192.5,78.5675,36558.2175,6.0,3.0,6.0,30092866.75,19.0,20543.72869840407,0.9010384615384617,1.0555555555555556,0.8043659150400935,0.9142375424408423
1997-11-01,616342436628.38,25271.666666666668,78.58500000000001,36642.33833333333,6.0,3.0,6.0,30113635.5,19.0,20468.262079325483,0.9013076923076924,1.0555555555555556,0.8038169790154409,0.9142375424408423
1997-12-01,614507501365.85,25350.833333333332,78.6025,36726.45916666667,6.0,3.0,6.0,30134404.25,19.0,20392.795460246896,0.9015769230769232,1.0555555555555556,0.8032680429907884,0.9142375424408423
1998-01-01,612672566103.32,25430.0,78.62,36810.58,6.0,3.0,6.0,30155173.0,19.0,20317.32884116831,0.901846153846154,1.0555555555555556,0.8027191069661358,0.9142375424408423
1998-02-01,616248389462.6357,25552.5,78.63833333333334,36942.21416666667,6.0,3.0,6.0,30175682.416666668,19.0,20421.24308994577,0.9021282051282052,1.0555555555555556,0.8034689098794596,0.9146166863354626
1998-03-01,619824212821.9517,25675.0,78.65666666666667,37073.848333333335,6.0,3.0,6.0,30196191.833333332,19.0,20525.157338723224,0.9024102564102565,1.0555555555555556,0.8042187127927835,0.9149958302300828
1998-04-01,623400036181.2675,25797.5,78.67500000000001,37205.4825,6.0,3.0,6.0,30216701.25,19.0,20629.071587500683,0.9026923076923078,1.0555555555555556,0.8049685157061073,0.915374974124703
1998-05-01,626975859540.5833,25920.0,78.69333333333334,37337.11666666667,6.0,3.0,6.0,30237210.666666668,19.0,20732.98583627814,0.9029743589743591,1.0555555555555556,0.8057183186194311,0.9157541180193234
1998-06-01,630551682899.8992,26042.5,78.71166666666667,37468.75083333334,6.0,3.0,6.0,30257720.083333332,19.0,20836.900085055597,0.9032564102564103,1.0555555555555556,0.8064681215327549,0.9161332619139436
1998-07-01,634127506259.215,26165.0,78.73,37600.385,6.0,3.0,6.0,30278229.5,19.0,20940.814333833056,0.9035384615384616,1.0555555555555556,0.8072179244460786,0.9165124058085639
1998-08-01,637703329618.5308,26287.5,78.74833333333333,37732.019166666665,6.0,3.0,6.0,30298738.916666668,19.0,21044.728582610514,0.9038205128205129,1.0555555555555556,0.8079677273594025,0.9168915497031841
1998-09-01,641279152977.8467,26410.0,78.76666666666667,37863.653333333335,6.0,3.0,6.0,30319248.333333332,19.0,21148.64283138797,0.9041025641025642,1.0555555555555556,0.8087175302727263,0.9172706935978043
1998-10-01,644854976337.1625,26532.5,78.785,37995.287500000006,6.0,3.0,6.0,30339757.75,19.0,21252.55708016543,0.9043846153846155,1.0555555555555556,0.8094673331860501,0.9176498374924247
1998-11-01,648430799696.4783,26655.0,78.80333333333334,38126.92166666667,6.0,3.0,6.0,30360267.166666668,19.0,21356.471328942887,0.9046666666666667,1.0555555555555556,0.810217136099374,0.9180289813870449
1998-12-01,652006623055.7942,26777.5,78.82166666666667,38258.55583333333,6.0,3.0,6.0,30380776.583333332,19.0,21460.385577720343,0.904948717948718,1.0555555555555556,0.8109669390126978,0.9184081252816652
1999-01-01,655582446415.11,26900.0,78.84,38390.19,6.0,3.0,6.0,30401286.0,19.0,21564.2998264978,0.9052307692307693,1.0555555555555556,0.8117167419260216,0.9187872691762854
1999-02-01,661387022359.9917,27040.833333333332,78.8675,38547.665,6.0,3.25,6.0,30424989.666666668,19.25,21736.804211105704,0.9056538461538463,1.0694444444444444,0.812870582440238,0.9232272417076561
1999-03-01,667191598304.8733,27181.666666666668,78.89500000000001,38705.14,6.0,3.5,6.0,30448693.333333332,19.5,21909.30859571361,0.9060769230769231,1.0833333333333335,0.8140244229544544,0.927667214239027
1999-04-01,672996174249.755,27322.5,78.9225,38862.615000000005,6.0,3.75,6.0,30472397.0,19.75,22081.812980321512,0.9065000000000001,1.0972222222222223,0.8151782634686708,0.9321071867703977
1999-05-01,678800750194.6366,27463.333333333332,78.95,39020.090000000004,6.0,4.0,6.0,30496100.666666668,20.0,22254.31736492942,0.9069230769230769,1.1111111111111112,0.8163321039828871,0.9365471593017686
1999-06-01,684605326139.5183,27604.166666666668,78.9775,39177.565,6.0,4.25,6.0,30519804.333333332,20.25,22426.82174953732,0.9073461538461539,1.125,0.8174859444971035,0.9409871318331393
1999-07-01,690409902084.3999,27745.0,79.005,39335.04,6.0,4.5,6.0,30543508.0,20.5,22599.326134145223,0.9077692307692309,1.1388888888888888,0.81863978501132,0.9454271043645102
1999-08-01,696214478029.2816,27885.833333333332,79.0325,39492.515,6.0,4.75,6.0,30567211.666666668,20.75,22771.83051875313,0.9081923076923077,1.152777777777778,0.8197936255255364,0.9498670768958809
1999-09-01,702019053974.1633,28026.666666666668,79.06,39649.99,6.0,5.0,6.0,30590915.333333332,21.0,22944.334903361032,0.9086153846153847,1.1666666666666667,0.8209474660397528,0.9543070494272516
1999-10-01,707823629919.0449,28167.5,79.0875,39807.465,6.0,5.25,6.0,30614619.0,21.25,23116.839287968938,0.9090384615384616,1.1805555555555556,0.8221013065539691,0.9587470219586225
1999-11-01,713628205863.9266,28308.333333333332,79.11500000000001,39964.94,6.0,5.5,6.0,30638322.666666668,21.5,23289.34367257684,0.9094615384615385,1.1944444444444446,0.8232551470681855,0.9631869944899932
1999-12-01,719432781808.8082,28449.166666666668,79.1425,40122.415,6.0,5.75,6.0,30662026.333333332,21.75,23461.848057184747,0.9098846153846154,1.2083333333333335,0.8244089875824019,0.9676269670213641
