Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
1981-11-01,198970325254.365,1190.0,54.63833333333333,1795.94,5.0,3.0,7.0,726452771.3333334,19.0,273.884038308177,0.5328974358974359,1.0555555555555556,0.15219271729802186,0.5236552688849654
1981-12-01,199513740852.8975,1190.0,54.68416666666666,1795.94,5.0,3.0,7.0,727811118.6666666,19.0,274.12354264058484,0.533602564102564,1.0555555555555556,0.15232527642998447,0.5236552688849654
1982-01-01,200057156451.43,1190.0,54.73,1795.94,5.0,3.0,7.0,729169466.0,19.0,274.36304697299266,0.5343076923076923,1.0555555555555556,0.15245783556194706,0.5236552688849654
1982-02-01,201497953890.615,1190.0,54.77583333333333,1795.94,5.0,3.0,7.0,730557556.0,19.0,275.7842310847637,0.5350128205128205,1.0555555555555556,0.15321693960880842,0.5236552688849654
1982-03-01,202938751329.8,1190.0,54.821666666666665,1795.94,5.0,3.0,7.0,731945646.0,19.0,277.2054151965347,0.5357179487179486,1.0555555555555556,0.1539760436556698,0.5236552688849654
1982-04-01,204379548768.985,1190.0,54.8675,1795.94,5.0,3.0,7.0,733333736.0,19.0,278.62659930830574,0.5364230769230769,1.0555555555555556,0.15473514770253116,0.5236552688849654
1982-05-01,205820346208.16998,1190.0,54.913333333333334,1795.94,5.0,3.0,7.0,734721826.0,19.0,280.04778342007677,0.5371282051282051,1.0555555555555556,0.15549425174939252,0.5236552688849654
1982-06-01,207261143647.35498,1190.0,54.95916666666667,1795.94,5.0,3.0,7.0,736109916.0,19.0,281.4689675318478,0.5378333333333333,1.0555555555555556,0.1562533557962539,0.5236552688849654
1982-07-01,208701941086.53998,1190.0,55.004999999999995,1795.94,5.0,3.0,7.0,737498006.0,19.0,282.89015164361876,0.5385384615384615,1.0555555555555556,0.15701245984311527,0.5236552688849654
1982-08-01,210142738525.725,1190.0,55.05083333333333,1795.94,5.0,3.0,7.0,738886096.0,19.0,284.3113357553898,0.5392435897435898,1.0555555555555556,0.15777156388997662,0.5236552688849654
1982-09-01,211583535964.91,1190.0,55.096666666666664,1795.94,5.0,3.0,7.0,740274186.0,19.0,285.7325198671608,0.5399487179487179,1.0555555555555556,0.158530667936838,0.5236552688849654
1982-10-01,213024333404.095,1190.0,55.1425,1795.94,5.0,3.0,7.0,741662276.0,19.0,287.15370397893184,0.5406538461538462,1.0555555555555556,0.15928977198369937,0.5236552688849654
1982-11-01,214465130843.28,1190.0,55.18833333333333,1795.94,5.0,3.0,7.0,743050366.0,19.0,288.57488809070287,0.5413589743589744,1.0555555555555556,0.16004887603056073,0.5236552688849654
1982-12-01,215905928282.465,1190.0,55.23416666666667,1795.94,5.0,3.0,7.0,744438456.0,19.0,289.9960722024739,0.5420641025641025,1.0555555555555556,0.1608079800774221,0.5236552688849654
1983-01-01,217346725721.65,1190.0,55.28,1795.94,5.0,3.0,7.0,745826546.0,19.0,291.4172563142449,0.5427692307692308,1.0555555555555556,0.16156708412428347,0.5236552688849654
1983-02-01,216814471503.44333,1190.0,55.325,1795.94,5.0,3.0,7.0,747248930.1666666,19.0,290.1762450140218,0.5434615384615384,1.0555555555555556,0.16090678879091597,0.5236552688849654
1983-03-01,216282217285.23666,1190.0,55.370000000000005,1795.94,5.0,3.0,7.0,748671314.3333334,19.0,288.93523371379865,0.5441538461538462,1.0555555555555556,0.16024649345754843,0.5236552688849654
