Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
2003-05-01,501846396321.4867,29786.666666666668,80.32333333333332,47086.51,7.0,5.0,6.0,19791398.666666668,22.0,25340.360255305604,0.928051282051282,1.2222222222222223,0.8349067833460088,0.9819696142106481
2003-06-01,513721070532.9009,29918.333333333332,80.34416666666667,47086.51,7.0,5.0,6.0,19809064.083333332,22.0,25915.679532220875,0.9283717948717948,1.2222222222222223,0.8382061007992613,0.983370114084074
2003-07-01,525595744744.31506,30050.0,80.365,47086.51,7.0,5.0,6.0,19826729.5,22.0,26490.99880913614,0.9286923076923076,1.2222222222222223,0.8415054182525139,0.9847706139575001
2003-08-01,537470418955.7292,30181.666666666668,80.38583333333332,47086.51,7.0,5.0,6.0,19844394.916666668,22.0,27066.318086051408,0.9290128205128204,1.2222222222222223,0.8448047357057664,0.986171113830926
2003-09-01,549345093167.1434,30313.333333333332,80.40666666666667,47086.51,7.0,5.0,6.0,19862060.333333332,22.0,27641.637362966678,0.9293333333333332,1.2222222222222223,0.8481040531590189,0.987571613704352
2003-10-01,561219767378.5575,30445.0,80.4275,47086.51,7.0,5.0,6.0,19879725.75,22.0,28216.956639881944,0.929653846153846,1.2222222222222223,0.8514033706122714,0.9889721135777779
2003-11-01,573094441589.9717,30576.666666666668,80.44833333333332,47086.51,7.0,5.0,6.0,19897391.166666668,22.0,28792.27591679721,0.9299743589743589,1.2222222222222223,0.854702688065524,0.9903726134512039
2003-12-01,584969115801.3859,30708.333333333332,80.46916666666667,47086.51,7.0,5.0,6.0,19915056.583333332,22.0,29367.59519371248,0.9302948717948717,1.2222222222222223,0.8580020055187766,0.9917731133246299
2004-01-01,596843790012.8,30840.0,80.49,47086.51,7.0,5.0,6.0,19932722.0,22.0,29942.914470627748,0.9306153846153845,1.2222222222222223,0.8613013229720291,0.9931736131980559
2004-02-01,602902168516.6609,30919.166666666668,80.51916666666666,47086.51,7.0,5.0,6.0,19953065.5,22.0,30212.98816616346,0.9310641025641024,1.2222222222222223,0.8625949774907857,0.9938281684751183
2004-03-01,608960547020.5217,30998.333333333332,80.54833333333333,47086.51,7.0,5.0,6.0,19973409.0,22.0,30483.061861699178,0.9315128205128205,1.2222222222222223,0.8638886320095422,0.9944827237521809
2004-04-01,615018925524.3826,31077.5,80.5775,47086.51,7.0,5.0,6.0,19993752.5,22.0,30753.13555723489,0.9319615384615384,1.2222222222222223,0.8651822865282989,0.9951372790292434
2004-05-01,621077304028.2434,31156.666666666668,80.60666666666667,47086.51,7.0,5.0,6.0,20014096.0,22.0,31023.209252770608,0.9324102564102563,1.2222222222222223,0.8664759410470554,0.995791834306306
2004-06-01,627135682532.1042,31235.833333333332,80.63583333333334,47086.51,7.0,5.0,6.0,20034439.5,22.0,31293.28294830632,0.9328589743589744,1.2222222222222223,0.867769595565812,0.9964463895833685
2004-07-01,633194061035.9651,31315.0,80.66499999999999,47086.51,7.0,5.0,6.0,20054783.0,22.0,31563.35664384204,0.9333076923076923,1.2222222222222223,0.8690632500845685,0.9971009448604311
2004-08-01,639252439539.8258,31394.166666666668,80.69416666666666,47086.51,7.0,5.0,6.0,20075126.5,22.0,31833.43033937775,0.9337564102564102,1.2222222222222223,0.8703569046033252,0.9977555001374936
2004-09-01,645310818043.6866,31473.333333333332,80.72333333333333,47086.51,7.0,5.0,6.0,20095470.0,22.0,32103.504034913465,0.9342051282051282,1.2222222222222223,0.8716505591220818,0.9984100554145561
2004-10-01,651369196547.5475,31552.5,80.7525,47086.51,7.0,5.0,6.0,20115813.5,22.0,32373.577730449182,0.9346538461538462,1.2222222222222223,0.8729442136408383,0.9990646106916187
2004-11-01,657427575051.4083,31631.666666666668,80.78166666666667,47086.51,7.0,5.0,6.0,20136157.0,22.0,32643.651425984895,0.9351025641025641,1.2222222222222223,0.8742378681595949,0.9997191659686812
2004-12-01,663485953555.2692,31710.833333333332,80.81083333333333,47086.51,7.0,5.0,6.0,20156500.5,22.0,32913.72512152061,0.9355512820512821,1.2222222222222223,0.8755315226783514,1.0003737212457438
2005-01-01,669544332059.13,31790.0,80.84,47086.51,7.0,5.0,6.0,20176844.0,22.0,33183.798817056326,0.936,1.2222222222222223,0.8768251771971081,1.0010282765228062
2005-02-01,673652954347.8,31930.0,80.85666666666667,47086.51,7.0,5.0,6.0,20199687.5,22.0,33347.634020752455,0.9362564102564103,1.2222222222222223,0.8775497130398954,1.0013947014287246
2005-03-01,677761576636.47,32070.0,80.87333333333333,47086.51,7.0,5.0,6.0,20222531.0,22.0,33511.46922444858,0.9365128205128206,1.2222222222222223,0.8782742488826826,1.0017611263346429
2005-04-01,681870198925.14,32210.0,80.89,47086.51,7.0,5.0,6.0,20245374.5,22.0,33675.30442814471,0.9367692307692308,1.2222222222222223,0.8789987847254699,1.002127551240561
2005-05-01,685978821213.81,32350.0,80.90666666666667,47086.51,7.0,5.0,6.0,20268218.0,22.0,33839.13963184084,0.9370256410256411,1.2222222222222223,0.8797233205682571,1.0024939761464793
2005-06-01,690087443502.48,32490.0,80.92333333333333,47086.51,7.0,5.0,6.0,20291061.5,22.0,34002.97483553696,0.9372820512820513,1.2222222222222223,0.8804478564110444,1.0028604010523976
2005-07-01,694196065791.15,32630.0,80.94,47086.51,7.0,5.0,6.0,20313905.0,22.0,34166.81003923309,0.9375384615384617,1.2222222222222223,0.8811723922538317,1.0032268259583157
2005-08-01,698304688079.8201,32770.0,80.95666666666668,47086.51,7.0,5.0,6.0,20336748.5,22.0,34330.64524292922,0.9377948717948719,1.2222222222222223,0.8818969280966189,1.003593250864234
2005-09-01,702413310368.49,32910.0,80.97333333333334,47086.51,7.0,5.0,6.0,20359592.0,22.0,34494.48044662534,0.9380512820512821,1.2222222222222223,0.8826214639394062,1.0039596757701523
2005-10-01,706521932657.16,33050.0,80.99000000000001,47086.51,7.0,5.0,6.0,20382435.5,22.0,34658.31565032147,0.9383076923076924,1.2222222222222223,0.8833459997821934,1.0043261006760706
2005-11-01,710630554945.8301,33190.0,81.00666666666667,47086.51,7.0,5.0,6.0,20405279.0,22.0,34822.1508540176,0.9385641025641026,1.2222222222222223,0.8840705356249807,1.004692525581989
2005-12-01,714739177234.5,33330.0,81.02333333333334,47086.51,7.0,5.0,6.0,20428122.5,22.0,34985.98605771372,0.9388205128205129,1.2222222222222223,0.8847950714677679,1.005058950487907
2006-01-01,718847799523.17,33470.0,81.04,47086.51,7.0,5.0,6.0,20450966.0,22.0,35149.82126140985,0.9390769230769231,1.2222222222222223,0.8855196073105552,1.0054253753938254
2006-02-01,726975142287.5142,33597.5,81.06083333333333,47086.51,7.0,5.0,6.0,20482354.0,22.0,35487.06860412574,0.939397435897436,1.2222222222222223,0.8868913860293353,1.0060563006379415
2006-03-01,735102485051.8584,33725.0,81.08166666666668,47086.51,7.0,5.0,6.0,20513742.0,22.0,35824.315946841634,0.9397179487179488,1.2222222222222223,0.8882631647481152,1.0066872258820576
2006-04-01,743229827816.2025,33852.5,81.1025,47086.51,7.0,5.0,6.0,20545130.0,22.0,36161.563289557525,0.9400384615384616,1.2222222222222223,0.8896349434668951,1.0073181511261737
2006-05-01,751357170580.5468,33980.0,81.12333333333333,47086.51,7.0,5.0,6.0,20576518.0,22.0,36498.81063227342,0.9403589743589744,1.2222222222222223,0.8910067221856751,1.0079490763702899
2006-06-01,759484513344.8909,34107.5,81.14416666666668,47086.51,7.0,5.0,6.0,20607906.0,22.0,36836.05797498931,0.9406794871794872,1.2222222222222223,0.8923785009044551,1.008580001614406
2006-07-01,767611856109.2351,34235.0,81.165,47086.51,7.0,5.0,6.0,20639294.0,22.0,37173.3053177052,0.9410000000000001,1.2222222222222223,0.893750279623235,1.009210926858522
2006-08-01,775739198873.5792,34362.5,81.18583333333333,47086.51,7.0,5.0,6.0,20670682.0,22.0,37510.55266042109,0.9413205128205129,1.2222222222222223,0.895122058342015,1.0098418521026382
2006-09-01,783866541637.9233,34490.0,81.20666666666668,47086.51,7.0,5.0,6.0,20702070.0,22.0,37847.80000313698,0.9416410256410257,1.2222222222222223,0.896493837060795,1.0104727773467543
2006-10-01,791993884402.2676,34617.5,81.2275,47086.51,7.0,5.0,6.0,20733458.0,22.0,38185.04734585287,0.9419615384615385,1.2222222222222223,0.897865615779575,1.0111037025908705
2006-11-01,800121227166.6117,34745.0,81.24833333333333,47086.51,7.0,5.0,6.0,20764846.0,22.0,38522.29468856876,0.9422820512820513,1.2222222222222223,0.8992373944983549,1.0117346278349866
