Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
1995-02-01,733428186815.2258,1846.6666666666667,70.03166666666667,2378.8741666666665,5.0,4.0,6.0,1205912916.6666667,19.0,608.1134164171501,0.7697179487179487,1.0555555555555556,0.2725429970834965,0.6334400354867491
1995-03-01,744144922315.8018,1863.3333333333333,70.05333333333334,2396.358333333333,5.0,4.0,6.0,1206970833.3333333,19.0,616.3941132832754,0.7700512820512821,1.0555555555555556,0.27447257740894165,0.6334400354867491
1995-04-01,754861657816.3776,1880.0,70.075,2413.8424999999997,5.0,4.0,6.0,1208028750.0,19.0,624.6748101494006,0.7703846153846154,1.0555555555555556,0.2764021577343868,0.6334400354867491
1995-05-01,765578393316.9534,1896.6666666666667,70.09666666666666,2431.3266666666664,5.0,4.0,6.0,1209086666.6666667,19.0,632.9555070155259,0.7707179487179487,1.0555555555555556,0.2783317380598319,0.6334400354867491
1995-06-01,776295128817.5292,1913.3333333333333,70.11833333333334,2448.810833333333,5.0,4.0,6.0,1210144583.3333333,19.0,641.2362038816511,0.771051282051282,1.0555555555555556,0.280261318385277,0.6334400354867491
1995-07-01,787011864318.105,1930.0,70.14,2466.295,5.0,4.0,6.0,1211202500.0,19.0,649.5169007477764,0.7713846153846153,1.0555555555555556,0.28219089871072217,0.6334400354867491
1995-08-01,797728599818.6809,1946.6666666666667,70.16166666666666,2483.7791666666667,5.0,4.0,6.0,1212260416.6666667,19.0,657.7975976139018,0.7717179487179487,1.0555555555555556,0.28412047903616733,0.6334400354867491
1995-09-01,808445335319.2567,1963.3333333333333,70.18333333333334,2501.2633333333333,5.0,4.0,6.0,1213318333.3333333,19.0,666.078294480027,0.772051282051282,1.0555555555555556,0.28605005936161243,0.6334400354867491
1995-10-01,819162070819.8325,1980.0,70.205,2518.7475,5.0,4.0,6.0,1214376250.0,19.0,674.3589913461523,0.7723846153846153,1.0555555555555556,0.28797963968705753,0.6334400354867491
1995-11-01,829878806320.4084,1996.6666666666667,70.22666666666666,2536.2316666666666,5.0,4.0,6.0,1215434166.6666667,19.0,682.6396882122775,0.7727179487179487,1.0555555555555556,0.2899092200125027,0.6334400354867491
