Year,GNI (current US$),"GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","GNI per capita, PPP (constant 2017 international $)","Primary education, duration (years)","Preprimary education, duration (years)","Secondary education, duration (years)","Population, total",Expected Years of Schooling,GNI per capital,Life Expectancy Index,Education Index,Income Index,Human Development Index
1992-12-01,191294893381.2475,21753.333333333332,76.04916666666666,38727.75416666667,4.0,6.0,8.0,7900222.666666667,22.0,24214.3590819504,0.8622948717948717,1.2222222222222223,0.8292190205467066,0.9719629056654886
1993-01-01,190907108718.8,21790.0,76.07,38720.41,4.0,6.0,8.0,7905633.0,22.0,24148.238188997642,0.8626153846153846,1.2222222222222223,0.8288120608972216,0.9719629056654886
1993-02-01,191985682490.28583,21864.166666666668,76.09916666666666,38778.545000000006,4.0,6.0,8.0,7908173.416666667,22.0,24276.41511186092,0.8630641025641025,1.2222222222222223,0.8295893526074276,0.9719629056654886
1993-03-01,193064256261.77167,21938.333333333332,76.12833333333333,38836.68,4.0,6.0,8.0,7910713.833333333,22.0,24404.5920347242,0.8635128205128204,1.2222222222222223,0.8303666443176335,0.9719629056654886
1993-04-01,194142830033.2575,22012.5,76.1575,38894.815,4.0,6.0,8.0,7913254.25,22.0,24532.768957587476,0.8639615384615384,1.2222222222222223,0.8311439360278394,0.9719629056654886
1993-05-01,195221403804.74332,22086.666666666668,76.18666666666667,38952.950000000004,4.0,6.0,8.0,7915794.666666667,22.0,24660.945880450752,0.8644102564102564,1.2222222222222223,0.8319212277380454,0.9719629056654886
1993-06-01,196299977576.22916,22160.833333333332,76.21583333333334,39011.085,4.0,6.0,8.0,7918335.083333333,22.0,24789.12280331403,0.8648589743589743,1.2222222222222223,0.8326985194482515,0.9719629056654886
1993-07-01,197378551347.715,22235.0,76.245,39069.22,4.0,6.0,8.0,7920875.5,22.0,24917.299726177305,0.8653076923076923,1.2222222222222223,0.8334758111584574,0.9719629056654886
1993-08-01,198457125119.20084,22309.166666666668,76.27416666666666,39127.355,4.0,6.0,8.0,7923415.916666667,22.0,25045.476649040585,0.8657564102564103,1.2222222222222223,0.8342531028686633,0.9719629056654886
1993-09-01,199535698890.68668,22383.333333333332,76.30333333333333,39185.49,4.0,6.0,8.0,7925956.333333333,22.0,25173.653571903862,0.8662051282051282,1.2222222222222223,0.8350303945788693,0.9719629056654886
1993-10-01,200614272662.1725,22457.5,76.3325,39243.625,4.0,6.0,8.0,7928496.75,22.0,25301.83049476714,0.8666538461538461,1.2222222222222223,0.8358076862890753,0.9719629056654886
1993-11-01,201692846433.65833,22531.666666666668,76.36166666666666,39301.76,4.0,6.0,8.0,7931037.166666667,22.0,25430.00741763042,0.867102564102564,1.2222222222222223,0.8365849779992812,0.9719629056654886
1993-12-01,202771420205.14417,22605.833333333332,76.39083333333333,39359.895,4.0,6.0,8.0,7933577.583333333,22.0,25558.184340493695,0.8675512820512821,1.2222222222222223,0.8373622697094871,0.9719629056654886
1994-01-01,203849993976.63,22680.0,76.42,39418.03,4.0,6.0,8.0,7936118.0,22.0,25686.361263356972,0.868,1.2222222222222223,0.8381395614196931,0.9719629056654886
1994-02-01,206871752474.11917,22757.5,76.44083333333333,39488.55333333333,4.0,6.0,8.0,7937131.333333333,22.0,26063.264241764242,0.8683205128205128,1.2222222222222223,0.8401811583505977,0.9719629056654886
1994-03-01,209893510971.60834,22835.0,76.46166666666667,39559.07666666667,4.0,6.0,8.0,7938144.666666667,22.0,26440.16722017151,0.8686410256410256,1.2222222222222223,0.8422227552815021,0.9719629056654886
1994-04-01,212915269469.0975,22912.5,76.4825,39629.6,4.0,6.0,8.0,7939158.0,22.0,26817.070198578775,0.8689615384615385,1.2222222222222223,0.8442643522124067,0.9719629056654886
1994-05-01,215937027966.58667,22990.0,76.50333333333333,39700.12333333333,4.0,6.0,8.0,7940171.333333333,22.0,27193.973176986045,0.8692820512820513,1.2222222222222223,0.8463059491433111,0.9719629056654886
1994-06-01,218958786464.07584,23067.5,76.52416666666667,39770.64666666667,4.0,6.0,8.0,7941184.666666667,22.0,27570.876155393315,0.8696025641025641,1.2222222222222223,0.8483475460742157,0.9719629056654886
1994-07-01,221980544961.565,23145.0,76.545,39841.17,4.0,6.0,8.0,7942198.0,22.0,27947.77913380058,0.8699230769230769,1.2222222222222223,0.8503891430051203,0.9719629056654886
